CAN_ID,DLC,D0,D1,D2,D3,D4,D5,D6,D7,label
773,8,35,296,0,0,54,127,1,37,Fuzzy
772,8,25,296,0,255,53,128,7,105,Fuzzy
353,8,296,312,0,0,36,0,0,0,DoS
825,8,0,0,0,255,0,255,0,0,Normal
1650,8,256,0,155,29,151,2,189,0,Fuzzy
4609,8,65,57,39,35,0,0,0,154,Fuzzy
772,8,9,296,0,255,51,128,3,201,DoS
1544,8,39,53,35,48,8,142,108,20,DoS
4232,8,597,1,5,0,255,110,10,79,Normal
1650,8,256,0,154,29,151,2,189,0,DoS
2176,8,0,50,0,0,0,0,0,0,Fuzzy
2,8,0,0,0,0,0,9,7,79,Normal
352,8,145,295,100,9,0,31,2,0,Fuzzy
2057,8,100,387,126,20,17,41,16,20,Normal
1650,8,104,0,154,29,151,2,189,0,DoS
6007,8,327,324,126,103,84,221,239,212,Fuzzy
2057,8,100,391,127,20,17,32,0,20,Fuzzy
2,8,0,0,0,0,0,1,5,47,Fuzzy
825,8,0,51,16,255,0,255,0,0,DoS
4937,8,534,136,0,138,0,0,0,0,DoS
772,8,368,295,0,255,173,126,15,169,Normal
0,8,0,0,0,0,0,0,0,0,DoS
825,8,0,51,16,255,0,255,0,0,Fuzzy
1175,8,8,0,0,0,0,0,0,0,Fuzzy
800,8,0,0,0,0,8,37,33,136,DoS
1796,8,32,0,0,0,0,0,0,0,Normal
825,8,0,51,16,255,0,255,0,0,Fuzzy
773,8,24,296,0,0,58,127,0,6,Fuzzy
1936,8,5,51,64,10,33,30,0,111,DoS
2120,8,5,50,36,104,116,0,0,29,Fuzzy
1936,8,5,39,184,16,27,30,22,123,Normal
1650,8,104,0,154,29,151,2,189,0,DoS
825,8,0,0,0,255,0,255,0,0,Normal
1796,8,32,0,0,0,0,0,0,0,Normal
1672,5,597,295,0,0,167,0,0,2,Fuzzy
825,8,0,51,16,255,0,255,0,0,DoS
2120,8,5,64,164,102,106,0,0,133,Normal
1936,8,5,51,192,14,33,28,39,122,Normal
4210,8,0,0,0,0,0,0,0,0,Normal
772,8,584,295,0,255,207,128,11,94,Normal
772,8,577,295,0,255,40,128,13,133,Normal
4609,8,288,343,150,30,0,0,0,201,Normal
772,8,21,296,0,255,243,127,13,93,Fuzzy
352,8,323,306,64,11,0,36,2,0,Normal
1796,8,32,0,0,0,0,0,0,0,Normal
1175,8,0,52,230,128,14,231,128,14,Normal
5760,8,0,0,1,0,160,34,0,0,Fuzzy
772,8,35,296,0,255,13,128,5,30,Fuzzy
2120,8,5,50,116,104,116,0,0,77,DoS
1650,8,54,0,154,29,151,2,189,0,Fuzzy
5760,8,0,0,1,0,160,34,0,0,DoS
1544,8,36,51,33,48,8,143,110,7,DoS
825,8,0,51,16,255,0,255,0,0,Fuzzy
2176,8,0,50,0,0,0,0,0,0,Normal
2176,8,0,50,0,0,0,0,0,0,Fuzzy
2120,8,5,50,84,104,119,0,0,110,Fuzzy
1650,8,150,0,110,29,1,4,221,0,Normal
1650,8,50,0,116,29,1,4,221,0,Normal
0,8,0,0,0,0,0,0,0,0,DoS
825,8,0,0,0,255,0,255,0,0,Normal
4232,8,597,0,0,0,255,172,9,0,Fuzzy
4232,8,597,2,19,0,255,247,22,108,Normal
825,8,0,0,0,255,0,255,0,0,Normal
773,8,578,295,0,0,70,127,12,193,DoS
0,8,0,0,0,0,0,0,0,0,DoS
2176,8,0,82,0,15,0,0,0,0,Normal
2176,8,0,50,0,0,0,0,0,0,Normal
4232,8,597,0,0,0,255,216,8,0,Fuzzy
4609,8,72,147,54,198,0,0,0,137,Normal
921,8,596,136,0,0,0,65,0,0,DoS
1175,8,8,0,0,0,0,0,0,0,DoS
0,8,0,0,0,0,0,0,0,0,DoS
1936,8,5,51,112,9,33,32,0,111,Fuzzy
1175,8,8,0,0,0,0,0,0,0,DoS
4231,8,0,100,96,255,126,225,8,0,DoS
772,8,16,296,0,255,21,128,2,6,Fuzzy
4609,8,549,569,77,195,0,0,0,224,Normal
773,8,528,295,0,0,53,130,11,224,Normal
921,8,596,70,0,0,0,81,0,0,Normal
2,8,0,0,0,0,0,4,1,58,Fuzzy
2176,8,0,50,0,0,0,0,0,0,DoS
1796,8,32,0,0,0,0,0,0,0,DoS
1796,8,32,0,0,0,0,0,0,0,Normal
773,8,583,295,0,0,62,127,4,89,DoS
825,8,0,0,0,255,0,255,0,0,Normal
1544,8,37,51,33,48,8,142,108,60,DoS
1796,8,32,0,0,0,0,0,0,0,DoS
773,8,261,296,0,0,118,125,9,60,Normal
1672,5,21,0,0,7,162,0,0,0,Normal
2120,8,5,64,180,104,106,0,0,155,Normal
0,8,0,0,0,0,0,0,0,0,DoS
4232,8,597,0,0,0,255,212,8,0,DoS
1936,8,5,71,152,15,47,22,11,124,Normal
921,8,596,136,0,0,0,60,0,0,Fuzzy
921,8,596,69,0,0,0,108,0,0,Normal
1544,8,6,52,54,48,255,163,203,121,Normal
800,8,0,0,0,0,10,0,47,57,DoS
4708,8,0,0,0,128,0,105,209,19,DoS
1936,8,5,52,32,10,34,30,0,111,Fuzzy
2176,8,0,70,0,0,0,0,0,0,Normal
5408,2,0,0,0,0,0,0,0,0,Fuzzy
4937,8,534,0,0,143,0,0,0,0,Normal
